"","V1","V2"
"147","CSF2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"148","PDE4B","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"149","SNN","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"150","PLEK","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"151","STAT5A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"152","DENND5A","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"153","CCND1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"154","DDX58","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"155","SPHK1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"156","CD80","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"157","TNFAIP8","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"158","CCNL1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"159","FUT4","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"160","CCRL2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"161","SPSB1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"162","TSC22D1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"163","B4GALT5","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"164","SIK1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"165","CLCF1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"166","NFE2L2","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"167","FOSB","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"168","PER1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"169","NFAT5","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"170","ATP2B1","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
"171","IL12B","HALLMARK_TNFA_SIGNALING_VIA_NFKB"
