a	s	folder	dir	p	co_wes	note
A05689	N6891303	R18065751LU01	Project_s440e03515_37Samples_181114	P0105689		
A05689	T6897438	R18065752LU01	Project_s440e03512_2Samples_181114	P0105689		
A05690	N6908453	R18064325LU01	Project_s440e03503_61Samples_181105	P0105690		
A05690	T6901171-TR	R18064327LU01	Project_s440e03500_8Samples_181105	P2305690		
A05690	T6907861	R18064326LU01	Project_s440e03503_61Samples_181105	P0105690		
A05691	N6916423	R18064919LU01	Project_s440e03506_54Samples_181107	P0105691		
A05691	T6917651	R18064920LU01	Project_s440e03506_54Samples_181107	P0105691		
A05692	N6923143	R18064313LU01	Project_s440e03503_61Samples_181105	P0105692		
A05692	T6921481	R18064314LU01	Project_s440e03501_4Samples_181105	P0105692		
A05694	N6941553	R18064309LU01	Project_s440e03503_61Samples_181105	P0105694		
A05694	T6949772	R18064310LU01	Project_s440e03503_61Samples_181105	P0105694		
A05697	C6977883	R18064898LU01	Project_s440e03504_3Samples_181107	P2705697		
A05697	N6975033	R18064897LU01	Project_s440e03506_54Samples_181107	P2705697		
A05698	N6983483	R18065324LU01	Project_s440e03511_46Samples_181112	P0105698		
A05698	T6988641	R18065325LU01	Project_s440e03511_46Samples_181112	P0105698		
A05701	N7015343	R18066668LU01	Project_s440e03518_29Samples_181120	P0105701		
A05701	N7015343	R18071655LU01	Project_s440e03546_8Samples_20181221	P0105701V7		
A05701	T7019721	R18066669LU01	Project_s440e03518_29Samples_181120	P0105701		
A05701	T7019721	R18071654LU01	Project_s440e03546_8Samples_20181221	P0105701V7		
A05703	N7039353	R18064901LU01	Project_s440e03506_54Samples_181107	P0105703		
A05703	T7035908	R18064902LU01	Project_s440e03506_54Samples_181107	P0105703		
A05704	N7048853	R18064356LU01	Project_s440e03503_61Samples_181105	P0105704		
A05704	T7044721	R18064357LU01	Project_s440e03503_61Samples_181105	P0105704		
A05706	N7067523	R18064909LU01	Project_s440e03506_54Samples_181107	P0105706		
A05706	T7063501	R18064910LU01	Project_s440e03506_54Samples_181107	P0105706		
A05707	N7079953	R18064934LU01	Project_s440e03506_54Samples_181107	P0105707		
A05707	T7075551	R18064935LU01	Project_s440e03506_54Samples_181107	P0105707		
A05712	N7128373	R18064323LU01	Project_s440e03503_61Samples_181105	P0105712		
A05712	T7125958	R18064324LU01	Project_s440e03503_61Samples_181105	P0105712		
A05713	N7135183	R18064925LU01	Project_s440e03506_54Samples_181107	P0105713		
A05713	T7137591	R18064926LU01	Project_s440e03506_54Samples_181107	P0105713		
A05714	N7149643	R18064342LU01	Project_s440e03503_61Samples_181105	P0105714		
A05714	T7147121	R18064343LU01	Project_s440e03503_61Samples_181105	P0105714		
A05715	N7159363	R18064348LU01	Project_s440e03503_61Samples_181105	P0105715		
A05715	T7153781	R18064349LU01	Project_s440e03503_61Samples_181105	P0105715		
A05716	N7165273	R18064328LU01	Project_s440e03503_61Samples_181105	P0105716		
A05716	T7169292	R18064329LU01	Project_s440e03503_61Samples_181105	P0105716		
A05717	N7179433	R18064907LU01	Project_s440e03506_54Samples_181107	P0105717		
A05717	T7172212	R18064908LU01	Project_s440e03506_54Samples_181107	P0105717		
A05718	C7186293	R18064355LU01	Project_s440e03502_1Sample_181105	P2705718		
A05718	N7188793	R18064354LU01	Project_s440e03503_61Samples_181105	P2705718		
A05719	N7197873	R18064921LU01	Project_s440e03506_54Samples_181107	P0105719		
A05719	T7198982	R18064922LU01	Project_s440e03506_54Samples_181107	P0105719		
A05720	N7206233	R18064346LU01	Project_s440e03503_61Samples_181105	P0105720		
A05720	T7205101	R18064347LU01	Project_s440e03503_61Samples_181105	P0105720		
A05721	N7217483	R18064339LU01	Project_s440e03503_61Samples_181105	P0105721		
A05721	T7218131	R18064340LU01	Project_s440e03503_61Samples_181105	P0105721		
A05722	N7225102	R18064915LU01	Project_s440e03506_54Samples_181107	P0105722		
A05722	T7221492	R18064916LU01	Project_s440e03506_54Samples_181107	P0105722		
A05724	N7243263	R18064905LU01	Project_s440e03506_54Samples_181107	P0105724		
A05724	T7248101	R18064906LU01	Project_s440e03506_54Samples_181107	P0105724		
A05725	N7251503	R18064917LU01	Project_s440e03506_54Samples_181107	P0105725		
A05725	T7253211	R18064918LU01	Project_s440e03506_54Samples_181107	P0105725		
A05726	N7266923	R18064911LU01	Project_s440e03506_54Samples_181107	P0105726		
A05726	T7262938	R18064912LU01	Project_s440e03505_2Samples_181107	P0105726		
A05728	N7288503	R18064923LU01	Project_s440e03506_54Samples_181107	P0105728		
A05728	T7286992	R18064924LU01	Project_s440e03506_54Samples_181107	P0105728		
A05729	N7295153	R18064903LU01	Project_s440e03506_54Samples_181107	P0105729		
A05729	T7292591	R18064904LU01	Project_s440e03506_54Samples_181107	P0105729		
A05731	N7316253	R18064330LU01	Project_s440e03503_61Samples_181105	P0105731		
A05731	T7312241	R18064331LU01	Project_s440e03503_61Samples_181105	P0105731		
A05732	N7329533	R18064344LU01	Project_s440e03503_61Samples_181105	P0105732		
A05732	T7324621	R18064345LU01	Project_s440e03503_61Samples_181105	P0105732		
A05733	N7337033	R18064899LU01	Project_s440e03506_54Samples_181107	P0105733		
A05733	T7339358	R18064900LU01	Project_s440e03505_2Samples_181107	P0105733		
A05734	N7346353	R18064913LU01	Project_s440e03506_54Samples_181107	P0105734		
A05734	T7343418	R18064914LU01	Project_s440e03506_54Samples_181107	P0105734		
A05735	N7351253	R18065297LU01	Project_s440e03511_46Samples_181112	P0105735		
A05735	T7355821	R18065298LU01	Project_s440e03511_46Samples_181112	P0105735		
A05737	N7371023	R18064943LU01	Project_s440e03506_54Samples_181107	P0105737		
A05737	T7379302	R18064944LU01	Project_s440e03506_54Samples_181107	P0105737		
