"","V1","V2"
"236","PLA2G2F","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"237","PCYT2","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"238","CDS1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"239","AGPAT3","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"240","AGPAT4","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"241","PGS1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"242","LYPLA1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"243","PLA2G1B","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"244","ADPRM","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"245","CDIPT","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"246","DGKQ","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"247","CDS2","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"248","DGKB","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"249","DGKG","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"250","PLPP3","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"251","DGKA","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"252","DGKI","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"253","PHOSPHO1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"254","LCLAT1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"255","TAFAZZIN","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"256","GPAT3","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"257","GNPAT","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"258","LPCAT4","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"259","PLA2G4E","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"260","GPAT4","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"261","CHKA","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"262","PLPP1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"263","PLPP2","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"264","LYPLA2","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"265","PLA2G2C","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"266","AGPAT1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"267","PLA2G2D","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"268","LPCAT2","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"269","PLA2G12A","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"270","AGPAT2","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"271","PLD1","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"272","CHKB","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"273","PISD","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
"274","PLD2","KEGG_GLYCEROPHOSPHOLIPID_METABOLISM"
