"","V1","V2"
"548","ATIC","Immature dendritic cell"
"549","ATP5A1","Immature dendritic cell"
"550","CAPZA1","Immature dendritic cell"
"551","LILRA5","Immature dendritic cell"
"552","RDX","Immature dendritic cell"
"553","RRAGD","Immature dendritic cell"
"554","TACSTD2","Immature dendritic cell"
"555","INPP5F","Immature dendritic cell"
"556","RAB38","Immature dendritic cell"
"557","PLAU","Immature dendritic cell"
"558","CSF3R","Immature dendritic cell"
"559","SLC18A2","Immature dendritic cell"
"560","AMPD2","Immature dendritic cell"
"561","CLTB","Immature dendritic cell"
"562","C1orf162","Immature dendritic cell"
"563","AIF1","Macrophage"
"564","CCL1","Macrophage"
"565","CCL14","Macrophage"
"566","CCL23","Macrophage"
"567","CCL26","Macrophage"
"568","CD300LB","Macrophage"
"569","CNR1","Macrophage"
"570","CNR2","Macrophage"
"571","EIF1","Macrophage"
"572","EIF4A1","Macrophage"
"573","FPR1","Macrophage"
"574","FPR2","Macrophage"
"575","FRAT2","Macrophage"
"576","GPR27","Macrophage"
"577","GPR77","Macrophage"
"578","RNASE2","Macrophage"
"579","MS4A2","Macrophage"
"580","BASP1","Macrophage"
"581","IGSF6","Macrophage"
"582","HK3","Macrophage"
"583","VNN1","Macrophage"
"584","FES","Macrophage"
"585","NPL","Macrophage"
"586","FZD2","Macrophage"
"587","FAM198B","Macrophage"
"588","HNMT","Macrophage"
"589","SLC15A3","Macrophage"
"590","CD4","Macrophage"
"591","TXNDC3","Macrophage"
"592","FRMD4A","Macrophage"
"593","CRYBB1","Macrophage"
"594","HRH1","Macrophage"
"595","WNT5B","Macrophage"
"596","ADAMTS3","Mast cell"
"597","CPA3","Mast cell"
"598","CMA1","Mast cell"
"599","CTSG","Mast cell"
"600","ARHGAP15","Mast cell"
"601","CPM","Mast cell"
"602","FCN1","Mast cell"
"603","FTL","Mast cell"
"604","HSPA6","Mast cell"
"605","ITGA9","Mast cell"
"606","RNASE3","Mast cell"
"607","S100A4","Mast cell"
"608","SIGLEC8","Mast cell"
"609","SLC6A4","Mast cell"
"610","PTGS2","Mast cell"
"611","EGR3","Mast cell"
"612","PILRA","Mast cell"
"613","CCR2","MDSC"
"614","CD14","MDSC"
"615","CD2","MDSC"
"616","CD86","MDSC"
"617","CXCR4","MDSC"
"618","FCGR2A","MDSC"
"619","FCGR2B","MDSC"
"620","FCGR3A","MDSC"
"621","FERMT3","MDSC"
"622","GPSM3","MDSC"
"623","IL18BP","MDSC"
"624","IL4R","MDSC"
"625","ITGAL","MDSC"
"626","ITGAM","MDSC"
"627","PARVG","MDSC"
"628","PSAP","MDSC"
"629","PTGER2","MDSC"
"630","PTGES2","MDSC"
"631","S100A8","MDSC"
"632","S100A9","MDSC"
"633","ASGR2","Monocyte"
"634","CFP","Monocyte"
"635","ASGR1","Monocyte"
"636","CD1D","Monocyte"
"637","UPK3A","Monocyte"
"638","ACTG1","Monocyte"
"639","ANXA5","Monocyte"
"640","ATP6V1B2","Monocyte"
"641","CFL1","Monocyte"
"642","DAZAP2","Monocyte"
"643","CTBS","Monocyte"
"644","EMR4P","Monocyte"
"645","HIVEP2","Monocyte"
"646","MARCKSL1","Monocyte"
"647","MBP","Monocyte"
"648","MMP15","Monocyte"
"649","PNPLA6","Monocyte"
"650","TMBIM6","Monocyte"
"651","PQBP1","Monocyte"
"652","TEX264","Monocyte"
"653","IKZF1","Monocyte"
"654","AKT3","Natural killer cell"
"655","AXL","Natural killer cell"
"656","BST2","Natural killer cell"
"657","CDH2","Natural killer cell"
"658","CRTAM","Natural killer cell"
"659","CSF2RA","Natural killer cell"
"660","CTSZ","Natural killer cell"
"661","CXCL1","Natural killer cell"
"662","CYTH1","Natural killer cell"
"663","DAXX","Natural killer cell"
"664","DGKH","Natural killer cell"
"665","DLL4","Natural killer cell"
"666","DPYD","Natural killer cell"
"667","ERBB3","Natural killer cell"
"668","F11R","Natural killer cell"
"669","FAM27A","Natural killer cell"
"670","FAM49A","Natural killer cell"
"671","FASLG","Natural killer cell"
"672","FCGR1A","Natural killer cell"
"673","FN1","Natural killer cell"
"674","FSTL1","Natural killer cell"
"675","FUCA1","Natural killer cell"
"676","GBP3","Natural killer cell"
"677","GLS2","Natural killer cell"
"678","GRB2","Natural killer cell"
"679","LST1","Natural killer cell"
"680","BCL2","Natural killer cell"
"681","CDC5L","Natural killer cell"
"682","FGF18","Natural killer cell"
"683","FUT5","Natural killer cell"
"684","FZR1","Natural killer cell"
"685","GAGE2","Natural killer cell"
"686","IGFBP5","Natural killer cell"
"687","KANK2","Natural killer cell"
"688","LDB3","Natural killer cell"
"689","BTN2A2","Natural killer T cell"
"690","CD101","Natural killer T cell"
"691","CD109","Natural killer T cell"
"692","CNPY3","Natural killer T cell"
"693","CNPY4","Natural killer T cell"
"694","CREB1","Natural killer T cell"
"695","CRTC2","Natural killer T cell"
"696","CRTC3","Natural killer T cell"
"697","CSF2","Natural killer T cell"
"698","KLRC1","Natural killer T cell"
"699","FUT4","Natural killer T cell"
"700","ICAM2","Natural killer T cell"
"701","IL32","Natural killer T cell"
"702","LAMP2","Natural killer T cell"
"703","LILRB5","Natural killer T cell"
"704","KLRG1","Natural killer T cell"
"705","HSPA4","Natural killer T cell"
"706","HSPB6","Natural killer T cell"
"707","ISM2","Natural killer T cell"
"708","ITIH2","Natural killer T cell"
"709","KDM4C","Natural killer T cell"
"710","KIR2DS4","Natural killer T cell"
"711","KIRREL3","Natural killer T cell"
"712","SDCBP","Natural killer T cell"
"713","NFATC2IP","Natural killer T cell"
"714","MICB","Natural killer T cell"
"715","KIR2DL1","Natural killer T cell"
"716","KIR2DL3","Natural killer T cell"
"717","KIR3DL1","Natural killer T cell"
